team_name,long_name
Magdeburg,Christian Titz
1. FC Magdeburg,Christian Titz
Pogoń Szczecin,Jens Gustafsson
Lugo,Hernán Pérez Cuesta
CD Lugo,Hernán Pérez Cuesta
Emelec,Ismael Rescalvo Sánchez
Alianza Lima,Guillermo Sandro Salas Suarez
Cienciano,César Eduardo Vigevani
Montreal Impact,Wilfried Nancy
Club de Foot Montréal,Wilfried Nancy
Melbourne Victory,Tony Popović
Al Ittifaq,Patrice Carteron
Ettifaq FC,Patrice Carteron
Giresunspor,Hakan Keleş
Cosenza,Davide Dionigi
Al Taawon,Péricles Raimundo Oliveira Chamusca
Al Taawoun,Péricles Raimundo Oliveira Chamusca
Shanghai SIPG,Ivan Leko
Shanghai Port FC,Ivan Leko
Orlando City,Óscar Alexander Pareja Gómez
Orlando City Soccer Club,Óscar Alexander Pareja Gómez
Platense,Martín Palermo
Sarmiento,Israel Alejandro Damonte
Club Atlético Sarmiento,Israel Alejandro Damonte
SPAL,Roberto Venturato
Al Feiha,Vuk Rašović
Al Fayha,Vuk Rašović
Dhamk,Krešimir Režić
Damac FC,Krešimir Režić
Ümraniyespor,Recep Uçar
Universidad Católica,Miguel Rondelli
Charlotte,Christian Lattanzio
1860 München,Michael Köllner
TSV 1860 München,Michael Köllner
Aberdeen,Jim Goodwin
Dundee United,Jack Ross
Silkeborg,Kent Nielsen
Silkeborg IF,Kent Nielsen
Lillestrøm,Geir Bakke
Lillestrøm SK,Geir Bakke
Viking,Morten Jensen
Viking FK,Morten Jensen
Rapid Bucuresti,Adrian Mutu
Grasshopper,Giorgio Contini
Grasshopper Club Zürich,Giorgio Contini
AIK,Peter Wennberg
Dynamo Dresden,Markus Anfang
SG Dynamo Dresden,Markus Anfang
Saarbrücken,Rüdiger Ziehl
SC Cambuur,Sjors Ultee
Chicago Fire,Ezra Hendrickson
Chicago Fire Football Club,Ezra Hendrickson
Houston Dynamo,Kenny Bundy
Elfsborg,Jimmy Thelin
IF Elfsborg,Jimmy Thelin
Norrköping,Glen Riddersholm
IFK Norrköping,Glen Riddersholm
St. Gallen,Peter Zeidler
FC St. Gallen 1879,Peter Zeidler
Vålerenga,Dag-Eilev Akkerhaugen Fagermo
Vålerenga Fotball,Dag-Eilev Akkerhaugen Fagermo
Pohang Steelers,Gi-Dong Kim
Jeju United,Ki-Il Nam
Jeju United FC,Ki-Il Nam
Le Havre,Luka Elsner
Le Havre AC,Luka Elsner
Nordsjælland,Flemming Pedersen
FC Nordsjælland,Flemming Pedersen
Grenoble Foot 38,Vincent Hognon
Laval,Olivier Frapolli
Stade Lavallois Mayenne FC,Olivier Frapolli
RKC Waalwijk,Joseph Oosting
Plymouth Argyle,Steven Schumacher
Wycombe Wanderers,Gareth Ainsworth
Hartberg,Markus Schopp
Daegu,Won-Kwon Choi
Daegu FC,Won-Kwon Choi
FC Emmen,Dick Lukkien
Go Ahead Eagles,René Hake
Deportivo Cali,Sergio Angulo Bolaños
Peñarol,Leonardo Alfredo Ramos Giró
